45,16,Oscillo Hero #2
51,16,Armored Lizard
60,16,Great White
70,16,Fiend Kraken
71,16,Jellyfish
73,32,Kairyu-shin
76,16,Krokodilus
77,8,Grappler
89,32,Catapult Turtle
131,32,Octoberser
140,8,Toad Master
150,32,Akihiron
152,32,The Melting Red Shadow
177,8,Monsturtle
191,32,LaLa Li-oon
193,8,Turtle Tiger
196,8,Arma Knight
199,8,Penguin Knight
205,8,Dorover
206,32,Twin Long Rods #1
211,32,Kaminarikozou
223,32,Roaring Ocean Snake
227,32,Hitodenchak
230,16,Rare Fish
243,8,Water Element
247,8,Root Water
249,16,Water Omotics
251,8,Enchanting Mermaid
258,8,Beastking of the Swamps
265,32,The Furious Sea King
270,8,Wetha
292,32,Psychic Kappa
334,16,Umi
353,16,Takriminos
361,8,Flying Penguin
381,8,Toon Alligator
400,32,Emperor of the Land and Sea
425,32,Thunder Dragon
430,8,Water Magician
431,8,Ice Water
432,8,Waterdragon Fairy
435,8,Water Girl
436,32,White Dolphin
437,32,Deepsea Shark
439,32,Bottom Dweller
440,32,7 Colored Fish
441,32,Mech Bass
443,32,Sea King Dragon
445,8,Guardian of the Sea
446,16,Aqua Snake
447,32,Giant Red Seasnake
448,32,Spike Seadra
449,32,"30,000-Year White Turtle"
450,16,Kappa Avenger
451,32,Kanikabuto
452,32,Zarigun
458,32,Kaminari Attack
459,16,Tripwire Beast
460,16,Bolt Escargot
461,16,Bolt Penguin
462,32,The Immortal of Thunder
463,16,Electric Snake
474,8,Sea Kamen
494,32,Rainbow Marine Mermaid
497,16,Yado Karu
503,8,Turtle Raccoon
507,16,Crazy Fish
518,32,Boulder Tortoise
519,32,Fire Kraken
520,32,Turtle Bird
524,32,Star Boy
536,32,Mechaleon
542,32,Misairuzame
543,8,Tongyo
546,8,Wow Warrior
549,32,Frog The Jam
550,8,Behegon
565,32,Man-eating Black Shark
566,8,Yormungarde
569,8,Drooling Lizard
583,8,Weather Report
590,8,Beaked Snake
593,32,Giant Turtle Who Feeds on Flames
599,16,Violent Rain
602,32,Penguin Soldier
605,8,Liquid Beast
606,32,Twin Long Rods #2
610,64,Electric Lizard
615,8,Armored Starfish
617,64,Marine Beast
624,16,High Tide Gyojin
625,16,Fairy of the Fountain
626,16,Amazon of the Seas
630,8,Ancient Lizard Warrior
634,8,Night Lizard
639,32,Amphibious Bugroth
646,8,Gruesome Goo
647,8,Hyosube
664,16,Eternal Draught
